platform,backend,variant,device,mode,dataset,n_images,mean_latency_ms,std_latency_ms,fps,mean_f1,mean_iou,avg_predictions,load_time_s
Arc_B60,openvino,int8_ptq_E,GPU,canvas,LED,14,409.05006292242825,14.089401545527739,2.444688537279699,0.0,0.0,0.0,8.167871674988419
Arc_B60,openvino,int8_ptq_E,GPU,canvas,Nuts,20,412.6692809688393,9.933296014245187,2.4232479763268593,0.16333333333333333,0.2446211081819473,0.35,8.11892824806273
Arc_B60,openvino,int8_ptq_E,GPU,canvas,Potatoes,9,611.1490603458757,118.91450221578262,1.636262026540721,1.0,0.9822649811826477,8.0,8.975642843986861
Arc_B60,openvino,int8_ptq_E,GPU,text,Candies,12,387.63208691185963,4.761221064826726,2.579765797941752,0.0,0.0,0.0,8.603517773095518
Arc_B60,openvino,int8_ptq_E,GPU,text,LED,15,406.53424450041103,16.905482893419705,2.459817379539324,0.0,0.0,0.0,7.898113270988688
Arc_B60,openvino,int8_ptq_E,GPU,text,Nuts,21,468.46804475145683,7.673914382925373,2.134617315318795,0.0,0.0,0.0,8.132859779987484
Arc_B60,openvino,int8_ptq_E,GPU,text,Potatoes,10,461.37719800462946,20.54022601561403,2.1674239739736034,1.0,0.9846322277960237,8.0,13.02839356707409
Arc_B60,openvino,int8_ptq_F,GPU,canvas,Potatoes,9,901.7491118930694,132.4589217450341,1.10895590226939,0.9198653198653199,0.8875774597274929,7.222222222222222,10.729095245013013
Arc_B60,openvino,int8_ptq_F,GPU,text,Potatoes,10,784.7790730069391,32.342731056434964,1.274243968010546,0.7412698412698413,0.8485701049892306,5.6,15.890394867979921
Arc_B60,openvino,int8_ptq_G,GPU,canvas,Potatoes,9,619.7060175214169,128.7440453515221,1.613668371334542,0.9411764705882353,0.9434898255516218,9.0,6.599010478006676
Arc_B60,openvino,int8_ptq_G,GPU,text,Potatoes,10,464.5976725034416,18.946956351155,2.1523999347900142,1.0,0.9433096117194317,8.0,9.36564127204474
